StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
1,Student_1,Male,92,5,66,0,Medium,44
2,Student_2,Female,88,12,63,2,Medium,57
3,Student_3,Male,100,1,63,3,Medium,50
4,Student_4,Male,91,18,66,3,High,61
5,Student_5,Male,85,18,90,5,Low,69
6,Student_6,Female,100,11,85,2,Low,61
7,Student_7,Male,98,19,72,1,High,67
8,Student_8,Male,100,8,89,0,Medium,53
9,Student_9,Male,87,10,62,5,Low,48
10,Student_10,Female,96,19,61,1,Low,55
11,Student_11,Male,76,12,85,4,Low,48
12,Student_12,Male,94,16,82,3,Medium,60
13,Student_13,Male,87,13,69,4,High,66
14,Student_14,Male,77,14,61,3,Medium,42
15,Student_15,Female,96,14,93,3,Medium,69
16,Student_16,Male,74,12,54,4,Medium,46
17,Student_17,Female,73,18,68,4,Medium,59
18,Student_18,Female,91,12,78,1,High,63
19,Student_19,Female,93,16,97,5,High,76
20,Student_20,Male,96,12,80,5,Low,53
21,Student_21,Female,94,7,81,4,High,62
22,Student_22,Male,100,21,68,1,Medium,68
23,Student_23,Female,94,19,82,5,High,73
24,Student_24,Female,87,30,76,1,Medium,74
25,Student_25,Female,87,10,56,1,High,50
26,Student_26,Female,86,15,85,3,High,65
27,Student_27,Female,90,15,87,5,Medium,62
28,Student_28,Female,79,22,85,5,Medium,66
29,Student_29,Female,91,13,75,3,High,71
30,Student_30,Female,87,9,64,4,High,55
31,Student_31,Male,90,23,47,3,Low,47
32,Student_32,Male,90,14,77,5,High,68
33,Student_33,Female,68,21,88,5,Medium,71
34,Student_34,Female,81,21,87,4,Low,56
35,Student_35,Female,87,16,85,3,Medium,74
36,Student_36,Male,88,15,74,0,Medium,62
37,Student_37,Female,90,14,88,0,High,75
38,Student_38,Male,90,16,86,4,Medium,73
39,Student_39,Male,100,21,70,3,High,76
40,Student_40,Male,90,11,83,3,Low,55
41,Student_41,Male,85,17,69,1,Medium,65
42,Student_42,Male,75,70,81,5,Medium,56
43,Student_43,Female,77,10,59,2,Medium,53
44,Student_44,Female,92,16,60,4,Low,58
45,Student_45,Female,96,4,88,2,Low,48
46,Student_46,Female,100,28,86,2,Medium,81
47,Student_47,Female,81,9,83,4,Medium,56
48,Student_48,Male,86,16,76,3,Medium,62
49,Student_49,Female,90,23,46,4,Medium,58
50,Student_50,Female,100,11,74,2,High,65
51,Student_51,Male,89,2,80,5,High,64
52,Student_52,Female,100,13,69,5,Medium,53
53,Student_53,Male,89,11,66,5,Medium,46
54,Student_54,Female,97,2,92,3,Low,43
55,Student_55,Male,96,18,74,0,High,75
56,Student_56,Female,89,17,80,4,Low,55
57,Student_57,Female,80,23,84,5,Medium,68
58,Student_58,Male,86,9,63,4,Medium,50
59,Student_59,Male,100,6,77,5,Medium,52
60,Student_60,Male,95,14,91,3,Low,66
61,Student_61,Male,85,15,97,0,High,72
62,Student_62,Male,85,22,75,0,Low,59
63,Student_63,Male,74,24,72,5,Medium,64
64,Student_64,Male,100,23,78,3,Low,69
65,Student_65,Male,95,18,78,1,Low,56
66,Student_66,Female,87,21,92,4,High,80
67,Student_67,Female,90,12,63,4,Low,56
68,Student_68,Male,71,17,72,2,High,54
69,Student_69,Female,84,9,62,3,Medium,51
70,Student_70,Female,99,16,63,2,Low,53
71,Student_71,Female,96,17,80,5,High,74
72,Student_72,Female,91,26,85,2,Medium,67
73,Student_73,Male,88,15,67,0,High,71
74,Student_74,Female,94,17,84,4,Low,53
75,Student_75,Male,86,17,88,2,High,70
76,Student_76,Female,75,13,98,0,Low,61
77,Student_77,Female,88,11,76,3,Medium,54
78,Student_78,Female,91,24,67,2,High,66
79,Student_79,Male,97,10,63,5,High,60
80,Student_80,Female,76,8,62,5,High,52
81,Student_81,Male,87,20,90,5,High,74
82,Student_82,Female,87,23,57,4,High,69
83,Student_83,Male,79,13,90,2,Low,55
84,Student_84,Female,92,13,65,3,Medium,58
85,Student_85,Male,94,18,67,2,Medium,59
86,Student_86,Male,86,12,73,4,Medium,52
87,Student_87,Female,100,11,67,0,Medium,56
88,Student_88,Male,85,21,86,4,Medium,66
89,Student_89,Female,84,20,97,5,Low,64
90,Student_90,Female,84,24,67,0,Medium,69
91,Student_91,Female,81,8,70,5,Low,45
92,Student_92,Female,84,13,73,1,Medium,54
93,Student_93,Female,77,18,81,4,Medium,62
94,Student_94,Female,86,10,73,4,High,61
95,Student_95,Female,88,20,92,3,High,69
96,Student_96,Female,70,23,89,2,Medium,66
97,Student_97,Female,87,12,61,0,Low,46
98,Student_98,Female,88,16,81,0,Medium,62
99,Student_99,Female,92,25,93,3,Low,74
100,Student_100,Male,98,27,69,3,Medium,71
101,Student_101,Male,95,20,71,2,Medium,71
102,Student_102,Female,83,20,69,5,Low,56
103,Student_103,Female,82,11,69,2,Medium,62
104,Student_104,Female,93,18,55,4,High,60
105,Student_105,Female,84,19,59,5,High,58
106,Student_106,Female,78,15,76,1,Medium,61
107,Student_107,Female,100,12,93,2,Low,69
108,Student_108,Female,86,8,68,3,Low,40
109,Student_109,Female,83,6,67,5,Medium,48
110,Student_110,Male,70,4,95,2,High,56
111,Student_111,Female,95,19,62,0,Low,56
112,Student_112,Male,80,17,55,1,High,58
113,Student_113,Female,88,13,65,4,Low,57
114,Student_114,Female,96,14,67,0,High,63
115,Student_115,Male,80,17,54,0,Medium,59
116,Student_116,Female,89,15,73,1,High,63
117,Student_117,Male,100,8,86,4,Medium,66
118,Student_118,Female,68,21,60,3,Medium,56
119,Student_119,Female,82,18,76,5,Low,65
120,Student_120,Male,81,18,80,4,Low,5
121,Student_121,Female,87,21,74,2,High,64
122,Student_122,Male,88,11,77,0,High,72
123,Student_123,Female,80,23,77,2,High,67
124,Student_124,Male,83,15,65,3,Medium,52
125,Student_125,Male,82,21,93,2,High,70
126,Student_126,Female,85,20,90,4,Low,69
127,Student_127,Female,90,10,89,2,Medium,55
128,Student_128,Male,95,19,87,3,Medium,70
129,Student_129,Female,96,18,56,3,Medium,57
130,Student_130,Female,93,16,86,3,Medium,71
131,Student_131,Female,81,15,83,4,Low,53
132,Student_132,Male,88,15,57,3,Medium,56
133,Student_133,Male,100,21,72,0,High,66
134,Student_134,Male,96,19,78,3,Medium,78
135,Student_135,Male,84,16,95,2,Low,61
136,Student_136,Male,100,7,84,5,Low,55
137,Student_137,Male,85,19,65,2,Medium,67
138,Student_138,Male,83,20,95,5,Medium,67
139,Student_139,Male,99,30,76,2,Medium,84
140,Student_140,Male,78,22,72,4,Medium,60
141,Student_141,Female,73,5,71,2,Medium,50
142,Student_142,Male,96,16,56,4,Medium,54
143,Student_143,Female,88,27,74,4,High,68
144,Student_144,Female,89,20,81,3,Medium,69
145,Student_145,Female,85,18,70,0,Medium,63
146,Student_146,Male,86,21,80,5,High,65
147,Student_147,Male,84,12,65,3,Low,47
148,Student_148,Male,83,19,73,3,Low,63
149,Student_149,Male,85,14,79,4,High,68
150,Student_150,Female,85,16,77,4,Medium,59
151,Student_151,Male,81,21,56,5,Medium,54
152,Student_152,Male,84,10,70,2,Low,58
153,Student_153,Male,68,24,95,2,Medium,62
154,Student_154,Male,93,13,69,3,Medium,58
155,Student_155,Male,91,18,75,1,Low,51
